frame,time_s,person,j0_x,j0_y,j0_z,j0_conf,j1_x,j1_y,j1_z,j1_conf,j2_x,j2_y,j2_z,j2_conf,j3_x,j3_y,j3_z,j3_conf,j4_x,j4_y,j4_z,j4_conf,j5_x,j5_y,j5_z,j5_conf,j6_x,j6_y,j6_z,j6_conf,j7_x,j7_y,j7_z,j7_conf,j8_x,j8_y,j8_z,j8_conf,j9_x,j9_y,j9_z,j9_conf,j10_x,j10_y,j10_z,j10_conf,j11_x,j11_y,j11_z,j11_conf,j12_x,j12_y,j12_z,j12_conf,j13_x,j13_y,j13_z,j13_conf,j14_x,j14_y,j14_z,j14_conf,j15_x,j15_y,j15_z,j15_conf,j16_x,j16_y,j16_z,j16_conf
0,0.0000,0,-0.338301,2.121110,1.488948,0.9997,-0.308932,2.107714,1.527025,0.9994,-0.336588,2.157335,1.526373,0.9994,-0.246498,2.106781,1.524892,0.9989,-0.297307,2.204224,1.525893,0.9983,-0.132361,2.044243,1.332354,0.9993,-0.270714,2.358005,1.344014,0.9988,-0.160258,1.923276,1.082723,0.9548,-1.936177,-0.798069,1.183670,0.0000,-0.351251,1.982353,1.197021,0.7561,-1.936177,-0.798069,1.183670,0.0000,-0.192845,2.083382,0.869736,0.9957,-0.257097,2.293489,0.857333,0.9966,-0.178929,2.110803,0.500310,0.9727,-0.246145,2.269348,0.487284,0.6841,-0.155220,2.148875,0.112093,0.9826,-0.206450,2.282883,0.128178,0.7952
1,0.0500,0,-0.337789,2.124615,1.489374,0.9997,-0.308444,2.110697,1.527572,0.9994,-0.335960,2.159077,1.526713,0.9994,-0.245865,2.108285,1.525147,0.9989,-0.296462,2.205416,1.526082,0.9981,-0.132301,2.044053,1.332184,0.9994,-0.271353,2.359311,1.343630,0.9985,-0.159477,1.924041,1.082461,0.9560,-1.936177,-0.798069,1.183670,0.0000,-0.350946,1.982582,1.197175,0.7562,-1.936177,-0.798069,1.183670,0.0000,-0.193263,2.084280,0.871505,0.9958,-0.257734,2.293581,0.858024,0.9967,-0.179462,2.110702,0.502884,0.9532,-0.247095,2.268451,0.488488,0.5489,-0.155573,2.148398,0.113004,0.9722,-0.208068,2.278630,0.126445,0.7133
2,0.1000,0,-0.335647,2.125618,1.491074,0.9997,-0.306036,2.111090,1.529194,0.9995,-0.334529,2.159978,1.528542,0.9995,-0.244470,2.108756,1.526159,0.9992,-0.296070,2.206846,1.527335,0.9985,-0.131177,2.044195,1.332525,0.9995,-0.272055,2.361184,1.342646,0.9985,-0.159195,1.925520,1.082978,0.9549,-1.936177,-0.798069,1.183670,0.0000,-0.351715,1.984370,1.199032,0.7600,-1.936177,-0.798069,1.183670,0.0000,-0.193443,2.085094,0.873401,0.9970,-0.258710,2.293166,0.859210,0.9965,-0.179209,2.111589,0.504538,0.9554,-0.247152,2.269540,0.487462,0.5919,-0.155712,2.147701,0.114305,0.9724,-0.209925,2.273822,0.123196,0.7485
3,0.1500,0,-0.333492,2.124566,1.492366,0.9998,-0.303752,2.108538,1.530037,0.9996,-0.332772,2.159222,1.530006,0.9997,-0.243591,2.106340,1.526398,0.9994,-0.295802,2.206945,1.528359,0.9990,-0.129803,2.045882,1.332272,0.9996,-0.272568,2.361503,1.342027,0.9990,-0.158640,1.925907,1.083118,0.9748,-1.936177,-0.798069,1.183670,0.0000,-0.350476,1.989606,1.199823,0.8411,-1.936177,-0.798069,1.183670,0.0000,-0.192549,2.085099,0.873904,0.9984,-0.259199,2.292656,0.859023,0.9979,-0.178840,2.112561,0.503954,0.9746,-0.246973,2.269150,0.484510,0.6546,-0.156330,2.147156,0.112278,0.9806,-0.211080,2.272197,0.120079,0.7774
4,0.2000,0,-0.331794,2.121913,1.495082,0.9998,-0.301841,2.106045,1.532236,0.9997,-0.330990,2.157284,1.532488,0.9997,-0.242594,2.104835,1.527576,0.9995,-0.295126,2.205442,1.530060,0.9991,-0.128203,2.046076,1.332125,0.9996,-0.273771,2.359659,1.342549,0.9992,-0.158275,1.924617,1.082043,0.9565,-1.936177,-0.798069,1.183670,0.0000,-0.347754,1.990109,1.199983,0.7779,-1.936177,-0.798069,1.183670,0.0000,-0.192695,2.087190,0.873966,0.9978,-0.261094,2.291981,0.860067,0.9980,-0.178601,2.113934,0.503443,0.9728,-0.246576,2.268830,0.484410,0.6441,-0.157313,2.147573,0.111440,0.9840,-0.209508,2.274302,0.121863,0.7793
5,0.2500,0,-0.328871,2.122472,1.498652,0.9998,-0.298073,2.106306,1.534842,0.9995,-0.328020,2.157958,1.535792,0.9995,-0.239509,2.105557,1.529221,0.9991,-0.293213,2.206416,1.532180,0.9986,-0.126933,2.047128,1.332669,0.9995,-0.274742,2.361258,1.342684,0.9988,-0.156908,1.924770,1.082453,0.9742,-1.936177,-0.798069,1.183670,0.0000,-0.345797,1.990024,1.199852,0.8416,-1.936177,-0.798069,1.183670,0.0000,-0.191983,2.089130,0.873950,0.9973,-0.260632,2.294774,0.859751,0.9965,-0.177913,2.115550,0.504006,0.9620,-0.246334,2.271346,0.482530,0.5621,-0.156203,2.149894,0.109807,0.9696,-0.209556,2.272098,0.118385,0.6823
6,0.3000,0,-0.327228,2.120264,1.501495,0.9998,-0.295255,2.104230,1.537343,0.9997,-0.326283,2.156873,1.538823,0.9997,-0.236925,2.104859,1.530239,0.9995,-0.291781,2.207579,1.533890,0.9992,-0.126138,2.048547,1.331850,0.9996,-0.275355,2.357872,1.342745,0.9989,-0.154376,1.926621,1.081096,0.9495,-1.936177,-0.798069,1.183670,0.0000,-0.343138,1.989699,1.200348,0.7472,-1.936177,-0.798069,1.183670,0.0000,-0.191101,2.089797,0.874227,0.9979,-0.260836,2.292915,0.860844,0.9975,-0.177398,2.115806,0.503180,0.9530,-0.245547,2.272314,0.481546,0.5104,-0.157903,2.148444,0.110933,0.9708,-0.211253,2.270648,0.116357,0.6914
7,0.3500,0,-0.325060,2.117677,1.507696,0.9998,-0.291792,2.101209,1.542541,0.9996,-0.323346,2.154879,1.544768,0.9996,-0.233476,2.103372,1.533309,0.9991,-0.289922,2.208188,1.537781,0.9989,-0.125770,2.048624,1.332852,0.9995,-0.275330,2.360421,1.344398,0.9986,-0.150265,1.928923,1.081771,0.9724,-1.936177,-0.798069,1.183670,0.0000,-0.341582,1.989423,1.199410,0.8415,-1.936177,-0.798069,1.183670,0.0000,-0.190352,2.090330,0.874603,0.9980,-0.260874,2.293237,0.860199,0.9979,-0.177351,2.116476,0.504239,0.9520,-0.245475,2.271833,0.483578,0.4869,-0.158926,2.147728,0.111209,0.9766,-0.212095,2.269225,0.117081,0.7141
8,0.4000,0,-0.322407,2.116162,1.512180,0.9998,-0.288081,2.100418,1.546361,0.9995,-0.320030,2.153579,1.549138,0.9996,-0.229571,2.103464,1.535702,0.9990,-0.287196,2.208389,1.541150,0.9986,-0.124793,2.048932,1.333458,0.9995,-0.276078,2.359205,1.344749,0.9988,-0.148784,1.928744,1.082428,0.9622,-1.936177,-0.798069,1.183670,0.0000,-0.340788,1.990261,1.200528,0.7686,-1.936177,-0.798069,1.183670,0.0000,-0.188899,2.090152,0.874380,0.9983,-0.261069,2.291017,0.859964,0.9981,-0.176322,2.118184,0.504501,0.9629,-0.244994,2.273280,0.481795,0.5517,-0.158904,2.147559,0.111401,0.9758,-0.213385,2.268083,0.114336,0.7409
9,0.4500,0,-0.319160,2.114825,1.517320,0.9997,-0.283630,2.100082,1.550313,0.9994,-0.316342,2.152871,1.553525,0.9996,-0.225401,2.104286,1.538044,0.9989,-0.284426,2.209177,1.544716,0.9987,-0.123748,2.049797,1.334138,0.9995,-0.278091,2.358116,1.346055,0.9991,-0.146873,1.928325,1.082823,0.9544,-1.936177,-0.798069,1.183670,0.0000,-0.338520,1.990314,1.200721,0.7693,-1.936177,-0.798069,1.183670,0.0000,-0.187679,2.092168,0.874342,0.9982,-0.262772,2.289768,0.860261,0.9981,-0.175181,2.120352,0.503014,0.9658,-0.245334,2.271274,0.482232,0.5160,-0.159002,2.148681,0.110408,0.9793,-0.215163,2.266663,0.117873,0.7231
