frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
0,0.000000,0,178.1044,172.5311,170.4078,176.1815,61.7885,,30.5278,,3.2134
1,0.050000,0,178.0390,172.9010,170.3105,176.1828,61.6864,,30.5113,,3.2525
2,0.100000,0,178.2997,174.0881,170.0542,175.6243,61.7470,,30.3666,,3.3962
3,0.150000,0,178.5900,174.4665,170.0959,175.4716,61.2762,,30.4307,,3.5005
4,0.200000,0,178.7932,174.3127,169.7977,175.4865,60.7806,,30.8419,,3.5423
5,0.250000,0,178.6825,174.8638,169.7257,175.6877,60.7786,,31.1016,,3.4347
6,0.300000,0,178.9588,175.8247,169.7791,175.3963,60.2518,,30.9305,,3.3951
7,0.350000,0,179.1591,175.9661,169.9383,175.3116,60.3879,,30.6261,,3.4144
8,0.400000,0,179.4088,176.8897,170.1080,174.6396,60.2054,,30.6600,,3.3964
9,0.450000,0,179.5183,177.0538,170.1517,174.7272,59.9569,,31.0248,,3.3360
10,0.500000,0,179.3484,176.9857,170.4309,174.5754,60.0128,,30.8322,,3.3766
11,0.550000,0,179.3639,177.5521,170.7940,174.1437,59.9377,,30.9965,,3.2416
12,0.600000,0,179.1896,178.1601,171.1410,173.7638,60.3873,,30.9761,,3.0362
13,0.650000,0,179.0846,177.9911,171.2279,173.8294,60.4419,,30.9878,,3.1219
14,0.700000,0,178.7581,177.6384,171.5597,174.2389,60.3174,,31.0024,,2.8876
15,0.750000,0,178.4214,177.1635,171.8871,174.5259,60.7501,,30.5395,,2.8301
16,0.800000,0,178.2963,177.6145,172.1566,174.4664,60.7200,,30.5715,,2.6264
17,0.850000,0,178.0517,177.6099,172.4033,174.2114,60.8437,,30.0888,,2.6518
18,0.900000,0,177.8097,177.8510,172.5488,174.0884,60.9919,,29.7219,,2.5336
19,0.950000,0,178.1412,177.7307,172.4031,173.8176,60.9540,,29.4385,,2.7454
20,1.000000,0,178.1765,177.6171,172.5740,173.6775,61.1335,,29.9904,,2.7873
21,1.050000,0,178.6876,177.3168,172.5843,173.7161,61.4717,,30.2350,,2.9358
22,1.100000,0,178.7807,177.2405,172.6654,173.6078,61.1933,,30.2927,,3.0626
23,1.150000,0,178.5473,177.3676,172.6814,173.8320,61.1935,,29.9197,,3.0055
24,1.200000,0,178.4977,177.5017,172.5167,173.7630,61.4933,,29.8869,,3.1400
25,1.250000,0,178.1097,177.3286,172.5383,173.7264,61.1633,,30.2545,,3.2004
26,1.300000,0,177.9834,176.8905,172.5990,173.7172,61.1464,,30.6854,,3.3209
27,1.350000,0,177.7095,177.3209,172.4581,173.4984,61.4158,,30.7202,,3.5115
28,1.400000,0,177.5166,177.5411,172.7229,172.9171,61.0472,,31.0697,,3.4225
29,1.450000,0,177.4937,177.8917,172.7454,173.2110,61.3120,,31.6734,,3.2027
30,1.500000,0,177.7795,177.5676,172.8059,173.5931,61.7791,,32.2337,,3.1757
31,1.550000,0,177.6346,177.6553,173.1109,173.4197,61.9501,,32.4118,,3.3081
32,1.600000,0,177.4962,177.7319,173.0140,172.7905,61.9505,,32.6281,,3.7136
33,1.650000,0,177.1970,177.0623,172.9602,173.1081,61.8593,,33.2304,,3.8073
34,1.700000,0,177.5353,177.0956,172.6890,173.7188,61.9294,,33.3936,,3.7862
35,1.750000,0,177.7515,176.3689,172.5063,174.0043,62.2676,,33.3644,,3.9579
36,1.800000,0,177.5796,176.1984,172.4318,174.4515,62.3171,,33.2415,,3.9721
37,1.850000,0,177.7167,175.4107,172.1586,174.7812,62.4021,,33.1605,,4.0354
38,1.900000,0,177.8477,175.1322,171.8557,174.8302,62.4069,,33.1951,,4.1308
39,1.950000,0,177.8268,175.1270,171.8047,174.6547,62.8795,,33.0131,,4.2332
40,2.000000,0,177.8841,174.8764,171.6252,174.6234,62.9434,,32.6526,,4.3538
41,2.050000,0,177.8549,174.9778,171.6441,174.5647,62.9732,,32.4668,,4.3175
42,2.100000,0,177.5172,173.8201,171.6580,174.9191,63.1678,,32.5993,,4.2837
43,2.150000,0,177.4938,174.1749,171.6885,174.6775,62.8561,,33.0630,,4.3313
44,2.200000,0,177.3253,174.1143,171.7008,174.8146,62.4422,,33.1789,,4.3116
45,2.250000,0,177.5486,173.1468,171.3602,175.4875,62.1298,,33.6060,,4.2706
46,2.300000,0,177.8664,172.8953,171.0753,175.7608,61.9097,,33.8441,,4.3025
